model,never,want,to,miss,the,latest,golf,news,?,you,can,now,add,this,sport,and,all,the,other,sports,and,teams,you,follow,to,your,personalised,my,sport,home,.
leader,0.2832364765709501,0.33621705434203397,-1,0.25327258112889095,-1,0.12625806608203427,0.22234527698116513,0.24720821943744675,-1,-1,-1,-1,0.1436008741949626,-1,0.25210545351169,-1,0.1455374969072114,-1,-1,0.14702410213261252,-1,0.17495116257292653,-1,0.14416351366271563,-1,0.16524308269545707,-0.0933315390777738,0.2329438749931454,0.25210545351169,0.19443069976321636,-1
rickie,-0.10908564977695878,-0.07173040263501851,-1,0.02565157335084156,-1,-0.12194564164127408,0.09849824094312587,-0.05752685359892107,-1,-1,-1,-1,-0.040362265730064406,-1,0.00580829821632689,-1,-0.059533442905775,-1,-1,-0.11425304798126246,-1,-0.04649007228568913,-1,0.15347853608287787,-1,-0.07298246884912407,0.011949437045197575,-0.09565256523607646,0.00580829821632689,-0.11129003133640958,-1
fowler,0.04268336148566254,-0.012544956135798868,-1,0.1663025441691669,-1,-0.015295679814414376,0.3445388578990034,0.021500518345729303,-1,-1,-1,-1,-0.008763124730779781,-1,0.10854010803051628,-1,0.029144369763093203,-1,-1,-0.04353001758593922,-1,0.0401003005624786,-1,0.19441335467593635,-1,-0.006073035106400226,0.005290752011538724,0.009090142638744636,0.10854010803051628,0.021931123862530266,-1
by,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
two,0.4113786404218083,0.43071318281434834,-1,0.36184711623945287,-1,0.3198101362609802,0.43369722337879635,0.34943320511642684,-1,-1,-1,-1,0.4138905401194536,-1,0.3476651083564094,-1,0.5211039566056187,-1,-1,0.400078586401694,-1,0.750555276216698,-1,0.28288053889681686,-1,0.28073888923933166,0.0914405482133932,0.3832206150236248,0.3476651083564094,0.4212760583414561,-1
strokes,0.14321125805583657,0.12885472264130282,-1,0.13839669202354266,-1,0.11695057791060859,0.15341801039207548,0.12870905940314548,-1,-1,-1,-1,0.22511266312498335,-1,0.010044200851882512,-1,0.23310339982364547,-1,-1,-0.013052085050214046,-1,0.4417736350452378,-1,0.09937824425765585,-1,0.1917784705341805,0.09425286999641114,0.20707783612362896,0.010044200851882512,0.11515113479134942,-1
after,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
third,0.3727183002055008,0.39465623280790174,-1,0.33710030956146164,-1,0.3511372011365965,0.4638668816725906,0.2622909036751837,-1,-1,-1,-1,0.43130730950864105,-1,0.33653118521601155,-1,0.37209138278362563,-1,-1,0.2644556649823143,-1,0.5422838262304882,-1,0.16365407990168612,-1,0.321241984540511,-0.015625673857223576,0.3734288301039904,0.33653118521601155,0.4537375379819196,-1
round,0.3584421335582557,0.3527599648527078,-1,0.461368065604818,-1,0.46505619983696866,0.45013666622806237,0.2865031105664988,-1,-1,-1,-1,0.35979898646785746,-1,0.3427396375427887,-1,0.4245778230607118,-1,-1,0.27396968009552713,-1,0.49442906554814703,-1,0.3293757864239042,-1,0.28735183057741764,0.09900567051995846,0.38613824392933527,0.3427396375427887,0.38637784086274607,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
wells,0.10627679455030936,0.07095389451173928,-1,0.16979856517553715,-1,0.09918497450640396,0.23288903780619086,0.13465716355673685,-1,-1,-1,-1,-0.05564497377898525,-1,0.10936651568795253,-1,0.16188789600831643,-1,-1,0.20930084708733854,-1,0.13250450872018305,-1,0.0739578369629279,-1,-0.049020274338042125,-0.08700877598218248,-0.11160026226305853,0.10936651568795253,0.29302673427460824,-1
fargo,-0.16330314771862176,-0.22925192256710947,-1,-0.022404327704076632,-1,-0.060256697505051804,0.10465844384984913,-0.038492722306010085,-1,-1,-1,-1,-0.20738756143414294,-1,-0.10029674312177228,-1,-0.0844388850298341,-1,-1,0.07468833813833498,-1,-0.06420219037783004,-1,-0.12570589325321624,-1,-0.3078886796826541,-0.1519540207667749,-0.3611269043182459,-0.10029674312177228,0.06458262286144367,-1
championship,0.3062827456205567,0.3983916004165591,-1,0.3293028403634317,-1,0.3387475072834981,0.6055341221207903,0.30819043200441476,-1,-1,-1,-1,0.3678700465335538,-1,0.41865257356697894,-1,0.3832792571681274,-1,-1,0.40086015832564503,-1,0.683136104364511,-1,0.18135941960564084,-1,0.22888608140183409,0.13419579221908995,0.27872091078217087,0.41865257356697894,0.4891489121103012,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
