model,rose,fired,five,birdies,and,two,bogeys,at,quail,hollow,golf,club,to,sit,at,seven-under,and,tied,for,third,.
leader,0.2302060042963464,0.13854905293030062,0.30013530507077624,-0.004117723615973068,-1,0.29057664347918655,-0.04898044397307744,-1,-0.2312257858380833,-0.12366726176572618,0.22234527698116513,0.304056178004787,-1,0.23008269967169825,-1,-0.3112327647089912,-1,0.10276799308886964,-1,0.3417716207495818,-1
rickie,0.00786402578127221,0.07305232149409657,-0.07653454546737648,0.021805702763227464,-1,-0.01029482389038816,0.0374451656885566,-1,-0.03931500046482883,-0.047596749567474284,0.09849824094312587,-0.018892192558871423,-1,0.011920474917448076,-1,-0.03206896448738328,-1,0.0698494796385769,-1,-0.048899527770273954,-1
fowler,0.14978431868081254,0.21899571664380557,0.04140132553428755,0.09613726378871412,-1,0.1307736998247262,0.07911638895007089,-1,-0.09620688909187058,-0.03846643158264085,0.3445388578990034,0.03675008213828013,-1,0.09865506321248863,-1,0.015453495577454346,-1,0.1876155691472542,-1,0.1150825367181949,-1
by,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
two,0.3067467020111243,0.4770785785197176,0.8939144720651863,0.5838780904340417,-1,1.0,0.5722491912089173,-1,-0.27638018267976694,-0.005329869023532163,0.43369722337879635,0.49420383921638955,-1,0.45945767718002395,-1,-0.16500021079344163,-1,0.4108631355216956,-1,0.6167372589710082,-1
strokes,0.1006796328310281,0.30174497954042423,0.5360680050996977,0.560898979168495,-1,0.5583389075045989,0.5900476150211623,-1,-0.14372118910351106,0.10161898811463965,0.15341801039207548,0.01109604771497763,-1,0.3153728051202639,-1,0.05070736203278936,-1,0.3336380861822019,-1,0.3520986144413272,-1
after,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
third,0.4258824514595825,0.36826429136055805,0.6575632784724164,0.38335786710465514,-1,0.6167372589710082,0.31458263849077417,-1,-0.1394263393361408,0.04656637126515306,0.4638668816725906,0.5407940848998376,-1,0.585246157157785,-1,-0.0023910143601477696,-1,0.583658334622966,-1,1.0,-1
round,0.28239105893936256,0.33787061016826825,0.553613956806145,0.4423735217140857,-1,0.5509827964848306,0.34747810138756585,-1,-0.03403189649957117,0.09188617603432425,0.45013666622806237,0.41736956897028277,-1,0.5746148461919589,-1,0.12478148260752675,-1,0.5375268877470398,-1,0.7680431518657875,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
wells,0.2680168713470724,0.34966071803942034,0.17059232355122,0.039098611073759004,-1,0.20484160572150256,-0.05893445622397109,-1,0.09017681095039631,0.07920413367247481,0.23288903780619086,0.2039570268400266,-1,0.12400072938294493,-1,-0.12340532641880286,-1,0.03078273880820337,-1,0.09560359562359189,-1
fargo,0.17451950789685078,0.11493653751231103,-0.06873442050225576,-0.07405410594007833,-1,-0.052508993418758365,-0.13289665035854736,-1,0.19012220825504966,0.024147252782740325,0.10465844384984913,-0.003837386326355219,-1,-0.06205451017967811,-1,-0.04738910380391492,-1,-0.06340790310385236,-1,-0.08278867013201996,-1
championship,0.30915844991651,0.23532842286819333,0.6345468837573064,0.3244092824044519,-1,0.6193574860516002,0.2560821300642162,-1,-0.13622221920278244,0.04741592195656563,0.6055341221207903,0.7515156984937824,-1,0.506861145889017,-1,-0.0938252548519376,-1,0.33100160520075583,-1,0.7499463592563931,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
