model,'',american,roberto,castro,is,in,second,after,dropping,a,shot,on,the,last,hole,while,sharing,the,lead,with,fowler,.
fowler,-1,0.13584148585562006,0.006549072295264136,0.4792293001382406,-1,-1,0.07300482727319524,-1,0.1074013793708789,-1,0.1054219486857414,-1,-1,-1,-0.17161370554228683,0.19650490963964762,-0.05259494859245173,-1,0.08741580533537308,-1,1.0,-1
by,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
two,-1,0.5561792513054419,-0.004328724608572809,0.09287323469858277,-1,-1,0.510497532493948,-1,0.458088890509849,-1,0.43512294792105877,-1,-1,-1,0.5321189363166229,0.6471728249581863,0.4248013707103613,-1,0.45104908775297237,-1,0.1307736998247262,-1
strokes,-1,0.1995559930150166,-0.21430726876083606,-0.022171035493179447,-1,-1,0.2709721216906864,-1,0.46020500196798875,-1,0.26785900560088605,-1,-1,-1,0.3562980107005831,0.3176436024659314,0.2410403472140672,-1,0.29942417834808854,-1,0.14765011190515864,-1
after,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
third,-1,0.5839702792352649,0.0522613048401126,0.10628766581973603,-1,-1,0.8628942268941102,-1,0.5081387383023075,-1,0.4401105181131203,-1,-1,-1,0.6408904209678946,0.6651576097246471,0.30079767587716844,-1,0.5342003184045896,-1,0.1150825367181949,-1
round,-1,0.39500994539373946,-0.062373402825739666,0.06924459162790586,-1,-1,0.7172962669691603,-1,0.5003572921810477,-1,0.31759822841888663,-1,-1,-1,0.5688540099894381,0.49081849331160265,0.27314982711713975,-1,0.3498046198005058,-1,0.040463950980065055,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
wells,-1,0.14879657686136138,0.07153262940242777,0.1936536186681992,-1,-1,0.03332640598418035,-1,0.17294093762418994,-1,0.15247195010643344,-1,-1,-1,0.04158000893825142,0.2882365227080119,-0.07331696028537715,-1,0.04187642221480814,-1,0.42919228610281335,-1
fargo,-1,-0.04652184569804363,0.09943977286230776,0.2158933422557271,-1,-1,-0.1365177679440317,-1,0.014555442659737627,-1,-0.13848134900637254,-1,-1,-1,-0.20076706648291354,0.02265078497547146,-0.2172423179951155,-1,-0.13430276407724606,-1,0.26021127671845734,-1
championship,-1,0.5813310136972293,0.1311025437828941,0.11850198168528958,-1,-1,0.6077492256849912,-1,0.3467987753575821,-1,0.34545782929312163,-1,-1,-1,0.49258116353127945,0.5534037645290979,0.2180152641829225,-1,0.392964345646158,-1,0.08343702475902026,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
