model,the,see-saw,nature,of,the,contest,continued,as,rovers,equalised,through,rhys,murphy,before,ross,lafayette,restored,dover,'s,advantage,with,a,smart,finish,in,the,68th,minute,.
wins,-1,-0.1195638225877822,0.09035937790878279,-1,-1,0.18439116745296547,0.1729688095951767,-1,0.7807765040027451,0.30810712537769835,0.2645604329998539,0.2783056078044124,0.43962071998399166,-1,0.5080917950117905,0.10713866048236953,0.11252136906077514,0.6011382594232453,-1,0.26468291458241233,-1,-1,0.09467351921618261,0.34143402512931775,-1,-1,-0.12024074495778758,0.258747554236083,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
bounce,-1,-0.03340173366219057,0.07882977276050107,-1,-1,0.2166464036996869,0.28171379105862815,-1,0.08227918514373844,0.32515766304177673,0.46056523473772026,-0.07832167091511977,0.08029579583175184,-1,0.18968048885331124,0.033232507584322724,0.3321333012629085,0.11612413382623044,-1,0.2759207787102277,-1,-1,0.20173629461802944,0.42500424775626744,-1,-1,0.090473784600272,0.3112218986522366,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
thrilling,-1,0.4858111217058265,0.1942113641716613,-1,-1,0.6240266625094779,0.14093653767646452,-1,0.1476585519249769,0.14565236523774416,0.13341810854336977,-0.05785915461631386,0.04467734569934345,-1,0.10669317247196353,-0.035961407112103494,0.22412415709229694,0.10714969350148174,-1,0.36355172026037685,-1,-1,0.19229935257606,0.5780890159934985,-1,-1,0.35042053155916086,0.369687244877123,-1
victory,-1,0.06688292540154239,0.13230901376065685,-1,-1,0.4683825976580891,0.2959267595922268,-1,0.35638960673129083,0.19097704759480993,0.26956053632695287,0.08643522756883648,0.27821249684965577,-1,0.3434043005592615,-0.020475677814862703,0.32405823417075297,0.23559619209029925,-1,0.4880542829857972,-1,-1,0.19312267274476969,0.45526757015733144,-1,-1,0.06626121729172951,0.3099517577891442,-1
over,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
national,-1,-0.04361415755700104,0.4387109270036439,-1,-1,0.2773005212783122,0.24777500665114105,-1,0.27094415201741096,0.009523311832197567,0.2994342242987562,0.08572421856048251,0.24319006403124233,-1,0.23066336177417857,-0.13622787498477962,0.23459098626332753,0.19878050208495313,-1,0.21921397136120357,-1,-1,0.058500540226187,0.14688440263599056,-1,-1,-0.08898540717812042,0.1419685803762526,-1
league,-1,-0.020274837291227366,0.1807615694542577,-1,-1,0.3536721154737197,0.3381218685103733,-1,0.49905660953115927,0.12656052106785154,0.3282984328895573,0.04553166394177943,0.22378281152314705,-1,0.378527568162194,-0.09428595880539925,0.2143443850863761,0.29708570400993284,-1,0.31867582997332744,-1,-1,0.17170734556032796,0.43794332934081015,-1,-1,0.012299270306292742,0.2771169438008758,-1
leaders,-1,-0.17879016348752708,0.19929098334519035,-1,-1,0.29469463646276006,0.36735650770452377,-1,0.36706163211429155,0.07607219680036292,0.28528805672462265,0.09901335380727172,0.2364662613537274,-1,0.32064948602820087,-0.15028599348327631,0.17350478852135642,0.17336505408871428,-1,0.2802861481595713,-1,-1,0.12985264921712691,0.25973314061396136,-1,-1,-0.18505150590607622,0.09349878799922096,-1
forest,-1,-0.18034261248357342,0.27358709082188826,-1,-1,0.21564636431873074,0.25900232141732715,-1,0.8045231234682092,0.21739497760245774,0.3038832700145988,0.3685798638139359,0.5682035142260408,-1,0.5974697827339107,0.16377413227287496,0.1766384951368074,0.6736060464335427,-1,0.1749022622298141,-1,-1,0.17301540913864433,0.2665702936971823,-1,-1,-0.21268163177264876,0.15447705647795096,-1
green,-1,-0.34777718296813176,0.34424182817916826,-1,-1,0.33292392379490066,0.33416165801295805,-1,0.6029221648244867,0.19384966733451836,0.4031816221628248,0.44614558238850344,0.7007652148438963,-1,0.6485275902250917,0.14525303894453212,0.14849228717211882,0.5080605642886042,-1,0.17768364425684524,-1,-1,0.27267778898017214,0.32511131776812363,-1,-1,-0.28058541377039425,0.15125172166135825,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
