model,sinn,fein,leader,gerry,adams,said,:,``,i,'m,sure,everybody,who,values,his,work,will,send,best,wishes,to,martin,bernie,and,their,family,.
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
china,0.31623907838145104,0.13787707654711767,0.33687621292410264,0.1466010031306435,0.28698762273943035,-1,-1,-1,-1,-1,0.32285692527583243,0.29976618607183525,-1,0.30106897544741384,-1,-1,-1,0.3375104642886271,0.2721044467180991,0.1904197417601209,-1,0.2493502823450895,0.018731809673408817,-1,-1,0.32579921314350613,-1
this,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
week,0.22373487782675727,-0.0531479237359358,0.3721122784954577,0.07378029707404665,0.34056446855196076,-1,-1,-1,-1,-1,0.5251841357290941,0.32278640953802273,-1,0.14529832724016645,-1,-1,-1,0.45150523472866233,0.42590048080584486,0.2295342655766366,-1,0.4166763719753238,-0.05337819755671691,-1,-1,0.5619230242810026,-1
due,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
medical,0.06325117819195514,-0.17469412026148357,0.18064124990161123,0.05434616817718041,0.20314704071279166,-1,-1,-1,-1,-1,0.3593239991396393,0.17217325143323992,-1,0.21468841685013684,-1,-1,-1,0.3384027704014039,0.3971977175193626,0.30234557105811843,-1,0.22077293499506767,-0.12050029927404027,-1,-1,0.4512985144174846,-1
advice,-0.0016782379421118598,-0.19510040483790547,0.08929766311078091,0.013661301707041051,0.14032710986842156,-1,-1,-1,-1,-1,0.5008977138255946,0.3780140437803837,-1,0.2930797135385579,-1,-1,-1,0.5460778712193493,0.464558975598077,0.4660573520831335,-1,0.21056422442421674,-0.05937804750660347,-1,-1,0.4753810233092811,-1
it,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
been,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
revealed,0.22679800893132063,-0.07369289680024771,0.3546062093941502,0.20459042203393363,0.3853348661404288,-1,-1,-1,-1,-1,0.44890227905896074,0.2465206019983881,-1,0.16213390513261494,-1,-1,-1,0.45120548148168094,0.3983319843541582,0.26933257914246145,-1,0.4531508319776908,-0.03033536359725031,-1,-1,0.5230446209460756,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
